DET,NOUN,VERB,DET,ADJ,NOUN,ADV,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPN,PROPN,PROPN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,VERB,PART,VERB,NOUN,ADP,DET,ADJ,NOUN,NOUN,PUNCT,PRON,PRON,AUX,AUX,ADP,NUM,NOUN,ADP,ADV,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,ADV,ADJ,PUNCT,CCONJ,PRON,VERB,PRON,AUX,AUX,ADJ,ADJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,PUNCT,PRON,VERB,PART,VERB,PRON,AUX,DET,ADJ,NOUN,PART,VERB,DET,ADJ,NOUN,NOUN,PUNCT,PRON,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,ADV,ADJ,PUNCT,ADV,ADP,DET,ADJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,VERB,ADP,DET,NOUN,ADP,NUM,NOUN,CCONJ,PRON,ADP,PRON,VERB,PRON,NOUN,ADV,ADV,ADV,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,VERB,SCONJ,NOUN,CCONJ,NOUN,ADP,ADP,DET,NOUN,AUX,AUX,ADV,ADP,DET,NOUN,PUNCT,CCONJ,ADP,NOUN,PRON,AUX,ADP,ADV,NUM,ADJ,NOUN,PUNCT,CCONJ,PRON,VERB,PRON,AUX,AUX,NOUN,ADP,ADV,ADJ,NOUN,ADP,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCONJ,DET,NOUN,PUNCT,NOUN,CCONJ,ADJ,NOUN,AUX,ADJ,PUNCT,DET,NOUN,CCONJ,NOUN,AUX,ADV,ADJ,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUX,PRON,VERB,VERB,PRON,ADJ,ADJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,NOUN,CCONJ,NOUN,AUX,ADV,ADJ,PUNCT,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOUN,VERB,PRON,ADV,ADV,PUNCT,ADV,AUX,PRON,VERB,ADV,ADJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,ADJ,NOUN,AUX,ADP,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,ADJ,ADP,PART,AUX,NUM,ADV,PUNCT,VERB,NOUN,NOUN,ADP,DET,NOUN,PUNCT,SCONJ,PRON,AUX,ADJ,CCONJ,ADV,ADJ,NOUN,AUX,PART,VERB,DET,NOUN,ADP,NOUN,PUNCT,ADV,PRON,VERB,ADJ,NOUN,DET,NOUN,AUX,AUX,ADV,ADP,PRON,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,VERB,SCONJ,PRON,AUX,VERB,PRON,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,ADV,VERB,ADV,ADP,VERB,ADP,DET,NOUN,ADJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,NOUN,CCONJ,NOUN,VERB,PUNCT,DET,NOUN,AUX,ADV,ADP,PRON,ADJ,CCONJ,VERB,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,ADV,ADJ,PART,VERB,ADP,PRON,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,VERB,PRON,AUX,ADJ,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,ADV,ADJ,PRON,AUX,PART,VERB,PRON,ADV,ADV,PUNCT,SCONJ,PRON,AUX,VERB,PRON,NOUN,ADP,DET,NOUN,PUNCT,ADV,AUX,PRON,VERB,PRON,PUNCT,PRON,AUX,VERB,ADP,NOUN,ADP,DET,ADJ,PUNCT,SCONJ,PRON,VERB,PRON,AUX,ADV,ADJ,PART,VERB,DET,NOUN,ADP,PRON,PUNCT,,,,,,,,,,,,,,,,,,,
ADP,PRON,ADJ,NOUN,PRON,VERB,PRON,PRON,ADP,PRON,NOUN,PUNCT,PRON,ADP,NOUN,CCONJ,ADP,NOUN,ADP,PRON,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,VERB,PART,VERB,PRON,PRON,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP,NOUN,PUNCT,PRON,VERB,NOUN,ADP,NOUN,PUNCT,ADV,ADP,DET,NOUN,CCONJ,PRON,ADP,PRON,AUX,ADV,ADJ,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP,NOUN,PUNCT,PRON,AUX,PART,VERB,ADP,DET,NOUN,ADP,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,VERB,ADV,ADP,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCONJ,PRON,AUX,PART,VERB,NOUN,CCONJ,VERB,DET,NOUN,ADP,PRON,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCONJ,PRON,VERB,NUM,NOUN,ADP,PRON,NOUN,PUNCT,PRON,AUX,AUX,VERB,ADP,ADP,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,ADV,ADJ,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,PART,VERB,PRON,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
